ああ|ああ	感叹词；哎呀
朝御飯|あさごはん	早饭
足; 脚|あし	脚；腿
熱い|あつい	烫；热（物体）
あの|あの	那个；嗯（犹豫时）
在る|ある	有；在
有る|ある	有；拥有
いい; よい|いい; よい	好；可以
椅子|いす	椅子
一番|いちばん	最；第一
五日|いつか	五号；五天
入口|いりぐち	入口
居る|いる	有；在（人或动物）
色々|いろいろ	各种各样
美味しい|おいしい	好吃
伯父; 叔父さん|おじさん	叔叔；伯父；舅舅
おじいさん|おじいさん	爷爷；外公
おととし|おととし	前年
お腹|おなか	肚子
伯母さん; 叔母さん|おばさん	阿姨；姑姑；舅妈
おばあさん|おばあさん	奶奶；外婆
おまわりさん|おまわりさん	警察（亲切说法）
降りる|おりる	下（车、楼梯）
終る|おわる	结束
買い物|かいもの	购物
かかる|かかる	花费（时间、金钱）；挂上
かける|かける	打（电话）；戴（眼镜）
かぶる|かぶる	戴（帽子）
カレンダー|カレンダー	日历
川; 河|かわ	河
可愛い|かわいい	可爱
聞く|きく	听；问
綺麗|きれい	漂亮；干净
キロ; キログラム|キロ; キログラム	千克；公斤
キロ; キロメートル|キロ; キロメートル	千米；公里
下さい|ください	请给我
靴下|くつした	袜子
この|この	这个
御飯|ごはん	米饭；饭
コピーする|コピーする	复印
さ来年|さらいねん	后年
閉まる|しまる	关闭（自动关上）
閉める|しめる	关上（动手关）
じゃ; じゃあ|じゃ; じゃあ	那么
白|しろ	白色
すぐに|すぐに	立刻；马上
ストーブ|ストーブ	暖炉；取暖炉
ズボン|ズボン	裤子
する|する	做
石鹸|せっけん	肥皂
背広|せびろ	西装
ゼロ|ゼロ	零
そう; そうです|そう; そうです	是那样；对
そうして; そして|そうして; そして	然后；而且
その|その	那个
そば|そば	旁边；荞麦面
沢山|たくさん	很多
たて|たて	纵向；竖
多分|たぶん	大概；也许
誰|だれ	谁
誰か|だれか	有人；某人
段々|だんだん	渐渐地
茶色|ちゃいろ	棕色；茶色
丁度|ちょうど	正好；恰好
つける|つける	打开（灯）；点上
できる|できる	会；能；做好
出口|でぐち	出口
では|では	那么
戸|と	门（日式）
どうぞ|どうぞ	请
どうも|どうも	谢谢；总觉得
十日|とおか	十号；十天
どなた|どなた	哪位（谁的敬语）
どの|どの	哪个
鶏肉|とりにく	鸡肉
どんな|どんな	什么样的
ない|ない	没有
鳴く|なく	（鸟兽）叫；鸣
七日|なのか	七号；七天
並べる|ならべる	排列；摆
にぎやか|にぎやか	热闹
寝る|ねる	睡觉
登る|のぼる	爬；登
葉書|はがき	明信片
はく|はく	穿（鞋、裤、袜）
初め; 始め|はじめ	开头；开始
走る|はしる	跑
二十日|はつか	二十号；二十天
晩御飯|ばんごはん	晚饭
一月|ひとつき	一个月
昼御飯|ひるごはん	午饭
曲る|まがる	拐弯；弯曲
丸い; 円い|まるい	圆的
万年筆|まんねんひつ	钢笔
三日|みっか	三号；三天
六日|むいか	六号；六天
メートル|メートル	米（长度单位）
もしもし|もしもし	喂（电话用语）
持つ|もつ	拿；持有
もっと|もっと	更
やる|やる	做；干
昨夜|ゆうべ	昨晚
ゆっくりと|ゆっくりと	慢慢地
八日|ようか	八号；八天
四日|よっか	四号；四天
読む|よむ	读
ラジオカセ|ラジオカセ	收录机
りっぱ|りっぱ	优秀；宏伟
零|れい	零
レコード|レコード	唱片
すっと|すっと	唰地；轻快地
やはり; やっぱり|やはり; やっぱり	仍然；果然
うかがう|うかがう	请教；拜访（谦让语）
止む|やむ	停止（雨雪等）
もし|もし	如果
つもり|つもり	打算
だめ|だめ	不行；不可以
贈り物|おくりもの	礼物
レポート; リポート|レポート; リポート	报告
ガラス|ガラス	玻璃
落る|おちる	掉落；脱落
パート (タイム)|パート (タイム)	钟点工；兼职
申し上げる|もうしあげる	说；告诉（谦让语）
